subscriber_id,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,actual_failure,fiber_length_km,helix_factor,fault_position_pct
25,-22.6,-23.0,-23.5,-24.0,-24.6,-25.2,-25.9,-26.6,1,8.00,1.09,0.95
26,-18.4,-18.6,-18.9,-19.2,-19.6,-20.0,-20.5,-21.0,0,3.70,1.03,0.85
27,-20.3,-20.7,-21.1,-21.6,-22.1,-22.7,-23.3,-24.0,1,5.40,1.06,0.88
28,-19.0,-19.3,-19.7,-20.1,-20.5,-21.0,-21.6,-22.2,0,4.90,1.05,0.87
29,-21.6,-22.0,-22.5,-23.0,-23.5,-24.1,-24.8,-25.5,1,6.50,1.07,0.91
30,-18.8,-19.0,-19.3,-19.7,-20.1,-20.6,-21.1,-21.7,0,4.20,1.04,0.86
31,-20.9,-21.3,-21.8,-22.3,-22.9,-23.5,-24.2,-24.9,1,6.20,1.07,0.90
32,-18.2,-18.4,-18.7,-19.0,-19.4,-19.8,-20.3,-20.8,0,3.80,1.04,0.85
33,-22.1,-22.5,-23.0,-23.5,-24.1,-24.7,-25.4,-26.1,1,7.30,1.08,0.93
34,-19.5,-19.8,-20.2,-20.6,-21.0,-21.5,-22.1,-22.7,0,5.10,1.06,0.87
35,-22.4,-22.8,-23.3,-23.8,-24.4,-25.0,-25.7,-26.4,1,7.80,1.09,0.94
36,-18.6,-18.8,-19.1,-19.5,-19.9,-20.4,-20.9,-21.5,0,4.10,1.04,0.86
37,-20.4,-20.8,-21.3,-21.8,-22.3,-22.9,-23.5,-24.2,1,5.70,1.06,0.89
38,-19.2,-19.5,-19.9,-20.3,-20.7,-21.2,-21.8,-22.4,0,4.70,1.05,0.87
39,-21.9,-22.3,-22.8,-23.3,-23.9,-24.5,-25.2,-25.9,1,7.20,1.08,0.92
40,-18.1,-18.3,-18.6,-18.9,-19.3,-19.7,-20.2,-20.7,0,3.60,1.03,0.84
41,-20.7,-21.1,-21.6,-22.1,-22.6,-23.2,-23.9,-24.6,1,6.10,1.07,0.90
42,-18.9,-19.2,-19.5,-19.9,-20.3,-20.8,-21.4,-22.0,0,4.50,1.05,0.86
43,-22.2,-22.6,-23.1,-23.6,-24.2,-24.8,-25.5,-26.2,1,7.60,1.08,0.93
44,-19.4,-19.7,-20.1,-20.5,-21.0,-21.5,-22.1,-22.7,0,5.00,1.05,0.87
45,-22.9,-23.3,-23.8,-24.3,-24.9,-25.5,-26.2,-27.0,1,8.50,1.10,0.96
46,-18.3,-18.5,-18.8,-19.1,-19.5,-19.9,-20.4,-20.9,0,3.90,1.04,0.85
47,-20.5,-20.9,-21.4,-21.9,-22.4,-23.0,-23.6,-24.3,1,5.80,1.06,0.89
48,-19.1,-19.4,-19.8,-20.2,-20.6,-21.1,-21.7,-22.3,0,4.60,1.05,0.86
49,-21.7,-22.1,-22.6,-23.1,-23.7,-24.3,-25.0,-25.7,1,6.90,1.07,0.91
50,-18.8,-19.0,-19.3,-19.7,-20.1,-20.6,-21.1,-21.7,0,4.30,1.04,0.86
